3717116668951749 	#南邮之声30周年#老魏！广播站！在一起！足球队！ 	0 	2014-06-02 20:45:00 	#南邮之声30周年#老魏！广播站！在一起！足球队！
3717102416583752 	#南邮之声30周年#即使没有门票也要上墙！ |仙境路 	3 	2014-06-02 19:48:00 	#南邮之声30周年#即使没有门票也要上墙！ |仙境路
3717094607125710 	#南邮之声30周年#我要上墙hiahiahia |仙境路 	1 	2014-06-02 19:17:00 	#南邮之声30周年#我要上墙hiahiahia |仙境路
3717105117994204 	#南邮之声30周年#强哥小呆赞一个！@dica久儿 小呆好疼啊@From车站街9号to文苑路9号 |南邮之声30周年 	4 	2014-06-02 19:59:00 	#南邮之声30周年#强哥小呆赞一个！@dica久儿 小呆好疼啊@From车站街9号to文苑路9号 |南邮之声30周年
3717090760911287 	#南邮之声30周年#开场啦啦！！ |南邮之声30周年 	3 	2014-06-02 19:02:00 	#南邮之声30周年#开场啦啦！！ |南邮之声30周年
3717113254228069 	#南邮之声30周年#追光师受很辛苦我要中奖呀 	1 	2014-06-02 20:32:00 	#南邮之声30周年#追光师受很辛苦我要中奖呀
3717097308244933 	#南邮之声30周年#受你辛苦了，求中奖 |南邮之声30周年 |文澜路 	0 	2014-06-02 19:28:00 	#南邮之声30周年#受你辛苦了，求中奖 |南邮之声30周年 |文澜路
3717089540198751 	#南邮之声30周年#yeah!追光师你辛苦了[偷笑] |文澜路 	2 	2014-06-02 18:57:00 	#南邮之声30周年#yeah!追光师你辛苦了[偷笑] |文澜路
3717156233768617 	简单的快乐，最原始的梦想。大学四年最骄傲的就是成为广播站的一份子，感动与泪水并存，南邮之声30周年生日快乐，也让我又做了回礼仪，最想说的一句话就是：爱你们！ 	16 	2014-06-02 23:22:00 	简单的快乐，最原始的梦想。大学四年最骄傲的就是成为广播站的一份子，感动与泪水并存，南邮之声30周年生日快乐，也让我又做了回礼仪，最想说的一句话就是：爱你们！
3717122561626373 	#南邮之声30周年#小@，小拍，我宣你们好久啦，你两辛苦喽～ 	0 	2014-06-02 21:09:00 	#南邮之声30周年#小@，小拍，我宣你们好久啦，你两辛苦喽～
3717112247465556 	#南邮之声30周年#这个地方，见证成长。南邮之声30周年生日快乐，你我同在！ 	0 	2014-06-02 20:28:00 	#南邮之声30周年#这个地方，见证成长。南邮之声30周年生日快乐，你我同在！
3717099090649050 	#南邮之声30周年#为什么我的上不了墙呢，不开森。 |南邮之声30周年 |文澜路 	0 	2014-06-02 19:35:00 	#南邮之声30周年#为什么我的上不了墙呢，不开森。 |南邮之声30周年 |文澜路
3717120300494679 	#梦翼场#人生最悲哀的事莫过于此啦~端午已经过去啦，各位，好梦啊~~ 	6 	2014-06-02 21:00:00 	#梦翼场#人生最悲哀的事莫过于此啦~端午已经过去啦，各位，好梦啊~~
3717105281080626 	#翼心为您#扩散起来，以后看到大型货车要远远的，安全妥妥的！ 	13 	2014-06-02 20:00:00 	#翼心为您#扩散起来，以后看到大型货车要远远的，安全妥妥的！
