3710616533729729 	真的[哼]吐槽南京南站口以么[睡觉] 	1 	2014-05-15 22:16:00 	真的[哼]吐槽南京南站口以么[睡觉]
3710611655977971 	OMG 南京南站竟然停电 出站口漆黑黑的一片 刚拿下隐形眼镜的我 好心塞[巨汗]南京南站停电 好吃惊好吃惊 @雪暮 我到了 你已经注意安全哈 我在这里:|南京南站 	5 	2014-05-15 21:57:00 	OMG 南京南站竟然停电 出站口漆黑黑的一片 刚拿下隐形眼镜的我 好心塞[巨汗]南京南站停电 好吃惊好吃惊 @雪暮 我到了 你已经注意安全哈 我在这里:|南京南站
3710611487241291 	窝草草草草草草草！！洗到全校一半停电停水…………草草草草草草…………[拜拜][拜拜][拜拜] 	40 	2014-05-15 21:56:00 	窝草草草草草草草！！洗到全校一半停电停水…………草草草草草草…………[拜拜][拜拜][拜拜]
3710605267217607 	果然又停电了，我真的服了…… 	0 	2014-05-15 21:31:00 	果然又停电了，我真的服了……
3710605145818368 	图书馆停电了[睡觉][睡觉][睡觉]三年了头一回碰到，好奇葩 	1 	2014-05-15 21:31:00 	图书馆停电了[睡觉][睡觉][睡觉]三年了头一回碰到，好奇葩
3710620874693738 	小本是极优的[心] 	2 	2014-05-15 22:33:00 	小本是极优的[心]
3710620220781250 	外形是指身高，长相，打扮吧[思考]好像真没有[懒得理你]小本私下没怎么看过，长相个子都算好的 //@北极考拉_:我心目中真没有满分的。[挖鼻屎]  	0 	2014-05-15 22:31:00 	外形是指身高，长相，打扮吧[思考]好像真没有[懒得理你]小本私下没怎么看过，长相个子都算好的 //@北极考拉_:我心目中真没有满分的。[挖鼻屎] 
3710612167387361 	这是什么东西？[挖鼻屎]怎么长成这样了 	13 	2014-05-15 21:59:00 	这是什么东西？[挖鼻屎]怎么长成这样了
3710611768753351 	[汗]我正好在看#POI#也是停电 	0 	2014-05-15 21:57:00 	[汗]我正好在看#POI#也是停电
3710609680342336 	怎么回事，刚嘲笑某人家网慢，我家网就卡了，还能让我把最后集看完再卡呢[晕]我家是50M的网好吧 	6 	2014-05-15 21:49:00 	怎么回事，刚嘲笑某人家网慢，我家网就卡了，还能让我把最后集看完再卡呢[晕]我家是50M的网好吧
3710626482059617 	突然想起来小学的英语老师，大美女，各种有气质~~~刚百度了下她，搜到了照片。。。额，我只能说，时间是把杀猪刀[泪]怎么心里惦记好多年的美丽大方的女老师一下子就变样了呢，不！开！心！！ 	2 	2014-05-15 22:55:00 	突然想起来小学的英语老师，大美女，各种有气质~~~刚百度了下她，搜到了照片。。。额，我只能说，时间是把杀猪刀[泪]怎么心里惦记好多年的美丽大方的女老师一下子就变样了呢，不！开！心！！
3710615086443997 	。。。最后的走廊灯，灭了[委屈]突然想到个好严重的问题，今天晚上木有走廊的灯光，我要肿木睡觉！！！[泪][泪] 我在:|南苑路 	8 	2014-05-15 22:10:00 	。。。最后的走廊灯，灭了[委屈]突然想到个好严重的问题，今天晚上木有走廊的灯光，我要肿木睡觉！！！[泪][泪] 我在:|南苑路
